stock_code,transaction_date,pattern_type,pattern_explanation
600578.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603248.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600611.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603608.SH,20260708,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
600676.SH,20260708,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
603601.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603538.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600903.SH,20260708,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
603435.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600736.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603399.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600857.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600076.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603330.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600382.SH,20260708,压单吸货,盘口卖压存在但收盘仍维持相对高位，像是边压盘边在回落区间吸收筹码。
603082.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
605389.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
605366.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
605299.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
600186.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
605162.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
605069.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
603045.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600303.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603717.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
600330.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603005.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603721.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
601991.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603324.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603937.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
688496.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
603008.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
601890.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
688509.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
605066.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
600203.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603918.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
603679.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
600293.SH,20260708,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
600527.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603936.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
603289.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600127.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600448.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600479.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600759.SH,20260708,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
600768.SH,20260708,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
600782.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600785.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600796.SH,20260708,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
600866.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
601999.SH,20260708,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
603028.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603075.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603118.SH,20260708,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
603331.SH,20260708,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
603359.SH,20260708,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
603686.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
603700.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
688560.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
600161.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
601117.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600009.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603893.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
601186.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600893.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
688082.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
601009.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600025.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
688008.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
601328.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
601939.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
688169.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
601872.SH,20260708,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
601398.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600018.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
